Sentiment,TweetId,Topic,TweetText
positive,4,kindle2,Reading my kindle2...  Love it... Lee childs is good read. @kindle2
positive,5,kindle2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!! @kindle2"
positive,6,kindle2,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :) @kindle2
positive,7,kindle2,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :) @kindle2
positive,8,kindle2,@richardebaker no. it is too big. I'm quite happy with the Kindle2. @kindle2
negative,9,aig,Fuck this economy. I hate aig and their non loan given asses. @aig
positive,10,jquery,Jquery is my new best friend. @jquery
positive,11,twitter,Loves twitter @twitter
positive,12,obama,how can you not love Obama? he makes jokes about himself. @obama
neutral,13,obama,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM @obama
negative,14,obama,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism @obama"
positive,15,obama,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation @obama"
positive,16,nike,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!! @nike
negative,17,nike,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x @nike"
positive,18,lebron,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2 @lebron"
negative,19,lebron,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James. @lebron
positive,20,lebron,i love lebron. http://bit.ly/PdHur @lebron
negative,21,lebron,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end. @lebron"
positive,22,lebron,@Pmillzz lebron IS THE BOSS @lebron
positive,23,lebron,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol @lebron"
positive,24,lebron,lebron and zydrunas are such an awesome duo @lebron
positive,25,lebron,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close. @lebron
positive,26,iphone app,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything. @iphone app
positive,33,visa,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing! @visa"
positive,34,fredwilson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson) @fredwilson
positive,35,fredwilson,In montreal for a long weekend of R&amp;R. Much needed. @fredwilson
positive,46,"""booz allen""","Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv @""booz allen"""
positive,47,"""booz allen""","[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP @""booz allen"""
positive,49,40d,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake. @40d"
neutral,50,40d,need suggestions for a good IR filter for my canon 40D ... got some? pls DM @40d
neutral,117,google,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv @google
positive,118,google,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT. @google"
negative,119,google,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone. @google
negative,120,aig,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders @aig
negative,121,itchy,omg so bored &amp; my tattoooos are so itchy!!  help! aha =) @itchy
negative,122,itchy,I'm itchy and miserable! @itchy
negative,123,itchy,"@sekseemess no. I'm not itchy for now. Maybe later, lol. @itchy"
positive,124,stanford,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR @stanford
positive,125,lyx,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane. @lyx"
positive,131,Danny Gokey,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :) @Danny Gokey"
positive,132,sleep,is going to sleep then on a bike ride:] @sleep
negative,133,sleep,cant sleep... my tooth is aching. @sleep
negative,134,sleep,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess. @sleep"
negative,135,san francisco,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf @san francisco"
neutral,136,san francisco,is in San Francisco at Bay to Breakers. @san francisco
neutral,137,san francisco,just landed at San Francisco @san francisco
neutral,138,san francisco,San Francisco today.  Any suggestions? @san francisco
negative,139,aig,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg @aig
negative,140,aig,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG? @aig
negative,141,aig,ShaunWoo hate'n on AiG @aig
positive,142,star trek,@YarnThing you will not regret going to see Star Trek. It was AWESOME! @star trek
neutral,143,star trek,On my way to see Star Trek @ The Esquire. @star trek
neutral,144,star trek,Going to see star trek soon with my dad. @star trek
negative,145,Malcolm Gladwell,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that. @Malcolm Gladwell
